Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
6E338,IndiGo,Pune ,PNQ,T1,Bengaluru,BLR,04:30:00,2023-10-07,04:20:00,2023-10-07,A21N
6E6336,IndiGo,Pune ,PNQ,T1,Bengaluru,BLR,05:55:00,2023-10-07,05:45:00,2023-10-07,A21N
AI621,Air India,Mumbai ,BOM,T2,Bengaluru,BLR,05:50:00,2023-10-07,05:50:00,2023-10-07,321
6E702,IndiGo,Kochi ,COK,T1,Bengaluru,BLR,06:25:00,2023-10-07,06:15:00,2023-10-07,A21N
AI514,Air India,Delhi ,DEL,T2,Bengaluru,BLR,06:25:00,2023-10-07,06:25:00,2023-10-07,319
6E887,IndiGo,Hyderabad ,HYD,T1,Bengaluru,BLR,06:45:00,2023-10-07,06:35:00,2023-10-07,A20N
6E2067,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,06:45:00,2023-10-07,06:35:00,2023-10-07,A21N
6E6422,IndiGo,Ahmedabad ,AMD,T1,Bengaluru,BLR,06:50:00,2023-10-07,06:40:00,2023-10-07,A20N
6E6438,IndiGo,Kolkata ,CCU,T1,Bengaluru,BLR,06:50:00,2023-10-07,06:40:00,2023-10-07,A20N
IX9502,Air India Express,Delhi ,DEL,T2,Bengaluru,BLR,06:55:00,2023-10-07,06:55:00,2023-10-07,NA
I51576,AirAsia India,Goa ,GOI,T2,Bengaluru,BLR,06:55:00,2023-10-07,06:55:00,2023-10-07,A20N
6E6075,IndiGo,Goa ,GOX,T1,Bengaluru,BLR,07:15:00,2023-10-07,07:05:00,2023-10-07,NA
6E1006,IndiGo,Singapore ,SIN,T2,Bengaluru,BLR,07:20:00,2023-10-07,07:10:00,2023-10-07,A21N
I51982,AirAsia India,Kochi ,COK,T2,Bengaluru,BLR,07:40:00,2023-10-07,07:40:00,2023-10-07,A320
6E255,IndiGo,Mangaluru ,IXE,T1,Bengaluru,BLR,07:50:00,2023-10-07,07:40:00,2023-10-07,A20N
6E5352,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,07:50:00,2023-10-07,07:40:00,2023-10-07,A20N
UK845,Vistara,Mumbai ,BOM,T2,Bengaluru,BLR,07:45:00,2023-10-07,07:45:00,2023-10-07,321
6E701,IndiGo,Indore ,IDR,T1,Bengaluru,BLR,07:55:00,2023-10-07,07:45:00,2023-10-07,A20N
6E728,IndiGo,Kochi ,COK,T1,Bengaluru,BLR,08:00:00,2023-10-07,07:50:00,2023-10-07,A20N
6E839,IndiGo,Jaipur ,JAI,T1,Bengaluru,BLR,08:10:00,2023-10-07,08:00:00,2023-10-07,A20N
6E7202,IndiGo,Kozhikode ,CCJ,T1,Bengaluru,BLR,08:15:00,2023-10-07,08:05:00,2023-10-07,AT76
6E771,IndiGo,Kolkata ,CCU,T1,Bengaluru,BLR,08:15:00,2023-10-07,08:05:00,2023-10-07,A20N
6E619,IndiGo,Hyderabad ,HYD,T1,Bengaluru,BLR,08:25:00,2023-10-07,08:15:00,2023-10-07,A320
I5819,AirAsia India,Pune ,PNQ,T2,Bengaluru,BLR,08:20:00,2023-10-07,08:20:00,2023-10-07,A20N
6E797,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,08:30:00,2023-10-07,08:20:00,2023-10-07,A20N
6E6612,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,08:35:00,2023-10-07,08:25:00,2023-10-07,A320
6E921,IndiGo,Goa ,GOX,T1,Bengaluru,BLR,08:40:00,2023-10-07,08:30:00,2023-10-07,A21N
6E5296,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,08:40:00,2023-10-07,08:30:00,2023-10-07,A20N
AI603,Air India,Mumbai ,BOM,T2,Bengaluru,BLR,08:40:00,2023-10-07,08:40:00,2023-10-07,32N
6E391,IndiGo,Pune ,PNQ,T1,Bengaluru,BLR,08:55:00,2023-10-07,08:45:00,2023-10-07,A21N
UK851,Vistara,Mumbai ,BOM,T2,Bengaluru,BLR,08:50:00,2023-10-07,08:50:00,2023-10-07,320
EK564,Emirates,Dubai ,DXB,T2,Bengaluru,BLR,08:55:00,2023-10-07,08:55:00,2023-10-07,77W
6E475,IndiGo,Coimbatore ,CJB,T1,Bengaluru,BLR,09:05:00,2023-10-07,08:55:00,2023-10-07,32Q
AI803,Air India,Delhi ,DEL,T2,Bengaluru,BLR,09:00:00,2023-10-07,09:00:00,2023-10-07,321
6E7233,IndiGo,Hubballi ,HBX,T1,Bengaluru,BLR,09:10:00,2023-10-07,09:00:00,2023-10-07,AT76
UK811,Vistara,Delhi ,DEL,T2,Bengaluru,BLR,09:05:00,2023-10-07,09:05:00,2023-10-07,320
6E287,IndiGo,Visakhapatnam ,VTZ,T1,Bengaluru,BLR,09:15:00,2023-10-07,09:05:00,2023-10-07,A21N
6E7245,IndiGo,Tiruchirappalli ,TRZ,T1,Bengaluru,BLR,09:15:00,2023-10-07,09:05:00,2023-10-07,AT7
6E496,IndiGo,Kolkata ,CCU,T1,Bengaluru,BLR,09:20:00,2023-10-07,09:10:00,2023-10-07,A20N
