Flight No,Airline,Scheduled,Estimated time,Departure,DEP_CODE,Gate,Terminal,Arrival,ARR_CODE,
I51452,AirAsia India,"06:05   07, Oct.","06:05   07, Oct.",Bengaluru,(BLR),,T2,Kolkata  ,CCU,
6E586,IndiGo,"06:10   07, Oct.","06:10   07, Oct.",Bengaluru,(BLR),28,,Ahmedabad  ,AMD,
SG327,SpiceJet,"06:10   07, Oct.","06:10   07, Oct.",Bengaluru,(BLR),20,,Kolkata  ,CCU,
6E7107,IndiGo,"06:15   07, Oct.","06:15   07, Oct.",Bengaluru,(BLR),3,,Rajahmundry  ,RJA,
QP1136,Akasa Air,"06:15   07, Oct.","06:15   07, Oct.",Bengaluru,(BLR),23,,Mumbai  ,BOM,
6E7236,IndiGo,"06:15   07, Oct.","06:15   07, Oct.",Bengaluru,(BLR),3,,Tiruchirappalli ,TRZ,
6E443,IndiGo,"06:20   07, Oct.","06:20   07, Oct.",Bengaluru,(BLR),3,,Bagdogra  ,IXB,
QP1603,Akasa Air,"06:25   07, Oct.","06:25   07, Oct.",Bengaluru,(BLR),23,,Lucknow  ,LKO,
6E227,IndiGo,"06:30   07, Oct.","06:30   07, Oct.",Bengaluru,(BLR),,,Dimapur  ,DMU,
6E6802,IndiGo,"06:30   07, Oct.","06:30   07, Oct.",Bengaluru,(BLR),3,,Nagpur  ,NAG,
6E857,IndiGo,"06:35   07, Oct.","06:35   07, Oct.",Bengaluru,(BLR),3,,Coimbatore  ,CJB,
6E7204,IndiGo,"06:35   07, Oct.","06:35   07, Oct.",Bengaluru,(BLR),3,,Vijayawada  ,VGA,
I52472,AirAsia India,"06:40   07, Oct.","06:40   07, Oct.",Bengaluru,(BLR),D23,T2,Lucknow  ,LKO,
UK866,Vistara,"06:40   07, Oct.","06:40   07, Oct.",Bengaluru,(BLR),D5,T2,Mumbai  ,BOM,
I51567,AirAsia India,"06:45   07, Oct.","06:45   07, Oct.",Bengaluru,(BLR),D12,T2,Bhubaneswar  ,BBI,
AI640,Air India,"06:45   07, Oct.","06:45   07, Oct.",Bengaluru,(BLR),D8,T2,Mumbai  ,BOM,
BA118,British Airways,"06:50   07, Oct.","06:50   07, Oct.",Bengaluru,(BLR),C2,T2,London  ,LHR,
6E7171,IndiGo,"06:55   07, Oct.","06:55   07, Oct.",Bengaluru,(BLR),3,,Madurai  ,IXM,
QP1109,Akasa Air,"06:55   07, Oct.","06:55   07, Oct.",Bengaluru,(BLR),12,,Mumbai  ,BOM,
UK810,Vistara,"07:00   07, Oct.","07:00   07, Oct.",Bengaluru,(BLR),D7,T2,Delhi  ,DEL,
6E122,IndiGo,"07:00   07, Oct.","07:00   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
UK897,Vistara,"07:00   07, Oct.","07:00   07, Oct.",Bengaluru,(BLR),D22,T2,Hyderabad  ,HYD,
S5151,Star Air,"07:05   07, Oct.","07:05   07, Oct.",Bengaluru,(BLR),D22,T2,Hyderabad  ,HYD,
6E5164,IndiGo,"07:05   07, Oct.","07:05   07, Oct.",Bengaluru,(BLR),3,,Mumbai  ,BOM,
AI513,Air India,"07:05   07, Oct.","07:05   07, Oct.",Bengaluru,(BLR),D13,T2,Delhi  ,DEL,
6E702,IndiGo,"07:10   07, Oct.","07:10   07, Oct.",Bengaluru,(BLR),,,Bhopal  ,BHO,
6E7728,IndiGo,"07:15   07, Oct.","07:15   07, Oct.",Bengaluru,(BLR),3,,Kannur  ,CNN,
9I505,Alliance Air,"07:15   07, Oct.","07:15   07, Oct.",Bengaluru,(BLR),23,,Agatti  ,AGX,
QP1372,Akasa Air,"07:20   07, Oct.","07:20   07, Oct.",Bengaluru,(BLR),2,,Bagdogra  ,IXB,
6E6269,IndiGo,"07:20   07, Oct.","07:20   07, Oct.",Bengaluru,(BLR),3,,Chennai  ,MAA,
6E484,IndiGo,"07:25   07, Oct.","07:25   07, Oct.",Bengaluru,(BLR),3,,Hyderabad  ,HYD,
AI516,Air India,"07:25   07, Oct.","07:25   07, Oct.",Bengaluru,(BLR),D11,T2,Hyderabad  ,HYD,
