Flight No,Airline,Scheduled,Estimated time,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE
6E6162,IndiGo,"14:05   07, Oct.","13:55   07, Oct.",Patna   ,PAT,,Bengaluru, (BLR)
WY283,Oman Air,"14:05   07, Oct.","13:55   07, Oct.",Muscat   ,MCT,T2,Bengaluru, (BLR)
AI601,Air India,"14:00   07, Oct.","14:00   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E5382,IndiGo,"14:15   07, Oct.","14:05   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
I5820,AirAsia India,"14:10   07, Oct.","14:10   07, Oct.",Ranchi   ,IXR,T2,Bengaluru, (BLR)
9I506,Alliance Air,"14:20   07, Oct.","14:20   07, Oct.",Agatti   ,AGX,,Bengaluru, (BLR)
6E1056,IndiGo,"14:30   07, Oct.","14:20   07, Oct.",Bangkok   ,BKK,T2,Bengaluru, (BLR)
S5118,Star Air,"14:30   07, Oct.","14:20   07, Oct.",Kalaburagi   ,GBI,T2,Bengaluru, (BLR)
6E7072,IndiGo,"14:35   07, Oct.","14:25   07, Oct.",Vijayawada   ,VGA,,Bengaluru, (BLR)
6E6383,IndiGo,"14:40   07, Oct.","14:30   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E6147,IndiGo,"14:45   07, Oct.","14:35   07, Oct.",Thiruvananthapuram   ,TRV,,Bengaluru, (BLR)
SG497,SpiceJet,"14:40   07, Oct.","14:40   07, Oct.",Patna   ,PAT,,Bengaluru, (BLR)
6E6609,IndiGo,"15:00   07, Oct.","14:50   07, Oct.",Shirdi   ,SAG,,Bengaluru, (BLR)
QP1625,Akasa Air,"15:10   07, Oct.","15:00   07, Oct.",Lucknow   ,LKO,,Bengaluru, (BLR)
6E6605,IndiGo,"15:10   07, Oct.","15:00   07, Oct.",Chennai   ,MAA,,Bengaluru, (BLR)
I51983,AirAsia India,"15:05   07, Oct.","15:05   07, Oct.",Bagdogra   ,IXB,T2,Bengaluru, (BLR)
6E455,IndiGo,"15:20   07, Oct.","15:10   07, Oct.",Kolkata   ,CCU,,Bengaluru, (BLR)
6E6992,IndiGo,"15:25   07, Oct.","15:15   07, Oct.",Durgapur   ,RDP,,Bengaluru, (BLR)
QF67,Qantas Airways,"15:20   07, Oct.","15:20   07, Oct.",Sydney   ,SYD,T2,Bengaluru, (BLR)
SG3999,SpiceJet,"15:20   07, Oct.","15:20   07, Oct.",Pondicherry   ,PNY,,Bengaluru, (BLR)
6E453,IndiGo,"15:35   07, Oct.","15:25   07, Oct.",Bagdogra   ,IXB,,Bengaluru, (BLR)
I51543,AirAsia India,"15:35   07, Oct.","15:35   07, Oct.",Jaipur   ,JAI,T2,Bengaluru, (BLR)
6E6536,IndiGo,"15:45   07, Oct.","15:35   07, Oct.",Bhubaneswar   ,BBI,,Bengaluru, (BLR)
6E337,IndiGo,"15:45   07, Oct.","15:35   07, Oct.",Raipur   ,RPR,,Bengaluru, (BLR)
I51455,AirAsia India,"15:40   07, Oct.","15:40   07, Oct.",Goa   ,GOI,T2,Bengaluru, (BLR)
6E381,IndiGo,"15:50   07, Oct.","15:40   07, Oct.",Goa   ,GOI,,Bengaluru, (BLR)
6E6012,IndiGo,"15:55   07, Oct.","15:45   07, Oct.",Kanpur   ,KNU,,Bengaluru, (BLR)
6E7258,IndiGo,"15:55   07, Oct.","15:45   07, Oct.",Tirupati   ,TIR,,Bengaluru, (BLR)
6E7448,IndiGo,"16:00   07, Oct.","15:50   07, Oct.",Kolhapur   ,KLH,,Bengaluru, (BLR)
6E7106,IndiGo,"16:00   07, Oct.","15:50   07, Oct.",Visakhapatnam   ,VTZ,,Bengaluru, (BLR)
UK882,Vistara,"15:55   07, Oct.","15:55   07, Oct.",Goa   ,GOI,T2,Bengaluru, (BLR)
6E7279,IndiGo,"16:05   07, Oct.","15:55   07, Oct.",Tiruchirappalli ,TRZ,,Bengaluru, (BLR)
6E1168,IndiGo,"16:05   07, Oct.","15:55   07, Oct.",Colombo   ,CMB,T2,Bengaluru, (BLR)
6E2514,IndiGo,"16:10   07, Oct.","16:00   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E422,IndiGo,"16:10   07, Oct.","16:00   07, Oct.",Visakhapatnam   ,VTZ,,Bengaluru, (BLR)
QP1384,Akasa Air,"16:15   07, Oct.","16:05   07, Oct.",Bhubaneswar   ,BBI,,Bengaluru, (BLR)
QP1397,Akasa Air,"16:20   07, Oct.","16:10   07, Oct.",Goa   ,GOX,,Bengaluru, (BLR)
6E6257,IndiGo,"16:25   07, Oct.","16:15   07, Oct.",Dimapur   ,DMU,,Bengaluru, (BLR)
AI502,Air India,"16:20   07, Oct.","16:20   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E6128,IndiGo,"16:30   07, Oct.","16:20   07, Oct.",Jodhpur   ,JDH,,Bengaluru, (BLR)
RA225,Nepal Airlines,"16:30   07, Oct.","16:20   07, Oct.",Kathmandu   ,KTM,T2,Bengaluru, (BLR)
6E152,IndiGo,"16:35   07, Oct.","16:25   07, Oct.",Port Blair   ,IXZ,,Bengaluru, (BLR)
6E5294,IndiGo,"16:40   07, Oct.","16:30   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E7182,IndiGo,"16:50   07, Oct.","16:40   07, Oct.",Thoothukudi ,TCR,,Bengaluru, (BLR)
UK819,Vistara,"16:45   07, Oct.","16:45   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E6534,IndiGo,"17:05   07, Oct.","16:55   07, Oct.",Bareilly   ,BEK,,Bengaluru, (BLR)
6E758,IndiGo,"17:05   07, Oct.","16:55   07, Oct.",Ahmedabad   ,AMD,,Bengaluru, (BLR)
6E968,IndiGo,"17:05   07, Oct.","16:55   07, Oct.",Kochi   ,COK,,Bengaluru, (BLR)
6E6402,IndiGo,"17:10   07, Oct.","17:00   07, Oct.",Chandigarh   ,IXC,,Bengaluru, (BLR)
6E388,IndiGo,"17:25   07, Oct.","17:15   07, Oct.",Mangaluru   ,IXE,,Bengaluru, (BLR)
6E6754,IndiGo,"17:30   07, Oct.","17:20   07, Oct.",Nagpur   ,NAG,,Bengaluru, (BLR)
UK512,Vistara,"17:30   07, Oct.","17:30   07, Oct.",Goa   ,GOX,T2,Bengaluru, (BLR)
6E929,IndiGo,"17:40   07, Oct.","17:30   07, Oct.",Chennai   ,MAA,,Bengaluru, (BLR)
UK756,Vistara,"17:35   07, Oct.","17:35   07, Oct.",Guwahati   ,GAU,T2,Bengaluru, (BLR)
6E517,IndiGo,"17:45   07, Oct.","17:35   07, Oct.",Aurangabad   ,IXU,,Bengaluru, (BLR)
9I528,Alliance Air,"17:40   07, Oct.","17:40   07, Oct.",Toranagallu   ,VDY,,Bengaluru, (BLR)
UK853,Vistara,"17:45   07, Oct.","17:45   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E7423,IndiGo,"17:55   07, Oct.","17:45   07, Oct.",Vijayawada   ,VGA,,Bengaluru, (BLR)
S5160,Star Air,"18:05   07, Oct.","17:55   07, Oct.",Bidar   ,IXX,T2,Bengaluru, (BLR)
6E6319,IndiGo,"18:10   07, Oct.","18:00   07, Oct.",Gorakhpur   ,GOP,,Bengaluru, (BLR)
6E1128,IndiGo,"18:15   07, Oct.","18:05   07, Oct.",Male   ,MLE,T2,Bengaluru, (BLR)
QP1401,Akasa Air,"18:15   07, Oct.","18:05   07, Oct.",Lucknow   ,LKO,,Bengaluru, (BLR)
QP1365,Akasa Air,"18:15   07, Oct.","18:05   07, Oct.",Pune   ,PNQ,,Bengaluru, (BLR)
SG4004,SpiceJet,"18:10   07, Oct.","18:10   07, Oct.",Shirdi   ,SAG,,Bengaluru, (BLR)
6E781,IndiGo,"18:20   07, Oct.","18:10   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
UK658,Vistara,"18:20   07, Oct.","18:20   07, Oct.",Chandigarh   ,IXC,T2,Bengaluru, (BLR)
I51531,AirAsia India,"18:25   07, Oct.","18:25   07, Oct.",Bagdogra   ,IXB,T2,Bengaluru, (BLR)
AI607,Air India,"18:25   07, Oct.","18:25   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E5221,IndiGo,"18:35   07, Oct.","18:25   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E532,IndiGo,"18:35   07, Oct.","18:25   07, Oct.",Coimbatore   ,CJB,,Bengaluru, (BLR)
AI815,Air India,"18:35   07, Oct.","18:35   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
9I518,Alliance Air,"18:40   07, Oct.","18:40   07, Oct.",Hyderabad   ,HYD,,Bengaluru, (BLR)
UK817,Vistara,"18:45   07, Oct.","18:45   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E435,IndiGo,"18:55   07, Oct.","18:45   07, Oct.",Lucknow   ,LKO,,Bengaluru, (BLR)
6E525,IndiGo,"19:00   07, Oct.","18:50   07, Oct.",Imphal   ,IMF,,Bengaluru, (BLR)
6E6417,IndiGo,"19:05   07, Oct.","18:55   07, Oct.",Darbhanga   ,DBR,,Bengaluru, (BLR)
6E7232,IndiGo,"19:05   07, Oct.","18:55   07, Oct.",Rajahmundry   ,RJA,,Bengaluru, (BLR)
6E141,IndiGo,"19:10   07, Oct.","19:00   07, Oct.",Chennai   ,MAA,,Bengaluru, (BLR)
6E412,IndiGo,"19:10   07, Oct.","19:00   07, Oct.",Udaipur   ,UDR,,Bengaluru, (BLR)
6E478,IndiGo,"19:15   07, Oct.","19:05   07, Oct.",Srinagar   ,SXR,,Bengaluru, (BLR)
6E757,IndiGo,"19:20   07, Oct.","19:10   07, Oct.",Jorhat   ,JRH,,Bengaluru, (BLR)
UK849,Vistara,"19:15   07, Oct.","19:15   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
EK566,Emirates,"19:20   07, Oct.","19:20   07, Oct.",Dubai   ,DXB,T2,Bengaluru, (BLR)
I5991,AirAsia India,"19:20   07, Oct.","19:20   07, Oct.",Kolkata   ,CCU,T2,Bengaluru, (BLR)
6E347,IndiGo,"19:30   07, Oct.","19:20   07, Oct.",Dehradun   ,DED,,Bengaluru, (BLR)
SG496,SpiceJet,"19:25   07, Oct.","19:25   07, Oct.",Darbhanga   ,DBR,,Bengaluru, (BLR)
6E7357,IndiGo,"19:35   07, Oct.","19:25   07, Oct.",Madurai   ,IXM,,Bengaluru, (BLR)
6E6614,IndiGo,"19:35   07, Oct.","19:25   07, Oct.",Chandigarh   ,IXC,,Bengaluru, (BLR)
QP1139,Akasa Air,"19:45   07, Oct.","19:35   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E7364,IndiGo,"19:45   07, Oct.","19:35   07, Oct.",Kannur   ,CNN,,Bengaluru, (BLR)
EY238,Etihad,"19:40   07, Oct.","19:40   07, Oct.",Abu Dhabi   ,AUH,T2,Bengaluru, (BLR)
QP1324,Akasa Air,"19:50   07, Oct.","19:40   07, Oct.",Agartala   ,IXA,,Bengaluru, (BLR)
6E808,IndiGo,"19:55   07, Oct.","19:45   07, Oct.",Vadodara   ,BDQ,,Bengaluru, (BLR)
I55002,AirAsia India,"19:50   07, Oct.","19:50   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E2487,IndiGo,"20:00   07, Oct.","19:50   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
I51563,AirAsia India,"19:55   07, Oct.","19:55   07, Oct.",Kolkata   ,CCU,T2,Bengaluru, (BLR)
6E979,IndiGo,"20:05   07, Oct.","19:55   07, Oct.",Raipur   ,RPR,,Bengaluru, (BLR)
