Flight No,Airline,Scheduled,Estimated time,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE
6E7389,IndiGo,"22:50   07, Oct.","22:40   07, Oct.",Madurai   ,IXM,,Bengaluru, (BLR)
QP1424,Akasa Air,"22:55   07, Oct.","22:45   07, Oct.",Varanasi   ,VNS,,Bengaluru, (BLR)
6E7378,IndiGo,"22:55   07, Oct.","22:45   07, Oct.",Hubballi   ,HBX,,Bengaluru, (BLR)
IX1229,Air India Express,"22:50   07, Oct.","22:50   07, Oct.",Jaipur   ,JAI,T2,Bengaluru, (BLR)
6E7133,IndiGo,"23:00   07, Oct.","22:50   07, Oct.",Vijayawada   ,VGA,,Bengaluru, (BLR)
UK857,Vistara,"22:55   07, Oct.","22:55   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E5385,IndiGo,"23:05   07, Oct.","22:55   07, Oct.",Chennai   ,MAA,,Bengaluru, (BLR)
6E7447,IndiGo,"23:05   07, Oct.","22:55   07, Oct.",Kannur   ,CNN,,Bengaluru, (BLR)
6E2302,IndiGo,"23:05   07, Oct.","22:55   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E6298,IndiGo,"23:10   07, Oct.","23:00   07, Oct.",Goa   ,GOI,,Bengaluru, (BLR)
6E611,IndiGo,"23:10   07, Oct.","23:00   07, Oct.",Bhubaneswar   ,BBI,,Bengaluru, (BLR)
6E5388,IndiGo,"23:15   07, Oct.","23:05   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
QP1326,Akasa Air,"23:20   07, Oct.","23:10   07, Oct.",Ahmedabad   ,AMD,,Bengaluru, (BLR)
I5821,AirAsia India,"23:15   07, Oct.","23:15   07, Oct.",Guwahati   ,GAU,T2,Bengaluru, (BLR)
UK807,Vistara,"23:20   07, Oct.","23:20   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
AF194,Air France,"23:30   07, Oct.","23:20   07, Oct.",Paris   ,CDG,T2,Bengaluru, (BLR)
TG325,Thai Airways,"23:25   07, Oct.","23:25   07, Oct.",Bangkok   ,BKK,T2,Bengaluru, (BLR)
QP1350,Akasa Air,"23:35   07, Oct.","23:25   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E2338,IndiGo,"23:40   07, Oct.","23:30   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E499,IndiGo,"23:40   07, Oct.","23:30   07, Oct.",Varanasi   ,VNS,,Bengaluru, (BLR)
I51569,AirAsia India,"23:35   07, Oct.","23:35   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E7166,IndiGo,"23:45   07, Oct.","23:35   07, Oct.",Tiruchirappalli ,TRZ,,Bengaluru, (BLR)
MH192,Malaysia Airlines,"23:40   07, Oct.","23:40   07, Oct.",Kuala Lumpur   ,KUL,T2,Bengaluru, (BLR)
6E487,IndiGo,"23:50   07, Oct.","23:40   07, Oct.",Kolkata   ,CCU,,Bengaluru, (BLR)
6E6803,IndiGo,"23:55   07, Oct.","23:45   07, Oct.",Nagpur   ,NAG,,Bengaluru, (BLR)
