Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_Time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
QP1603,Akasa Air,Bengaluru,BLR,T1,Lucknow ,LKO,06:25:00,2023-10-07,06:25:00,2023-10-07,7M8
6E227,IndiGo,Bengaluru,BLR,T1,Dimapur ,DMU,06:30:00,2023-10-07,06:30:00,2023-10-07,A20N
6E6802,IndiGo,Bengaluru,BLR,T1,Nagpur ,NAG,06:30:00,2023-10-07,06:30:00,2023-10-07,A21N
6E857,IndiGo,Bengaluru,BLR,T1,Coimbatore ,CJB,06:35:00,2023-10-07,06:35:00,2023-10-07,A21N
6E7204,IndiGo,Bengaluru,BLR,T1,Vijayawada ,VGA,06:35:00,2023-10-07,06:35:00,2023-10-07,AT76
I52472,AirAsia India,Bengaluru,BLR,T2,Lucknow ,LKO,06:40:00,2023-10-07,06:40:00,2023-10-07,A320
UK866,Vistara,Bengaluru,BLR,T2,Mumbai ,BOM,06:40:00,2023-10-07,06:40:00,2023-10-07,320
I51567,AirAsia India,Bengaluru,BLR,T2,Bhubaneswar ,BBI,06:45:00,2023-10-07,06:45:00,2023-10-07,A320
AI640,Air India,Bengaluru,BLR,T2,Mumbai ,BOM,06:45:00,2023-10-07,06:45:00,2023-10-07,321
BA118,British Airways,Bengaluru,BLR,T2,London ,LHR,06:50:00,2023-10-07,06:50:00,2023-10-07,777
6E7171,IndiGo,Bengaluru,BLR,T1,Madurai ,IXM,06:55:00,2023-10-07,06:55:00,2023-10-07,AT76
QP1109,Akasa Air,Bengaluru,BLR,T1,Mumbai ,BOM,06:55:00,2023-10-07,06:55:00,2023-10-07,7M8
UK810,Vistara,Bengaluru,BLR,T2,Delhi ,DEL,07:00:00,2023-10-07,07:00:00,2023-10-07,320
6E122,IndiGo,Bengaluru,BLR,T1,Delhi ,DEL,07:00:00,2023-10-07,07:00:00,2023-10-07,A21N
UK897,Vistara,Bengaluru,BLR,T2,Hyderabad ,HYD,07:00:00,2023-10-07,07:00:00,2023-10-07,320
S5151,Star Air,Bengaluru,BLR,T2,Hyderabad ,HYD,07:05:00,2023-10-07,07:05:00,2023-10-07,ER4
6E5164,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,07:05:00,2023-10-07,07:05:00,2023-10-07,A21N
AI513,Air India,Bengaluru,BLR,T2,Delhi ,DEL,07:05:00,2023-10-07,07:05:00,2023-10-07,319
6E702,IndiGo,Bengaluru,BLR,T1,Bhopal ,BHO,07:10:00,2023-10-07,07:10:00,2023-10-07,A21N
6E7728,IndiGo,Bengaluru,BLR,T1,Kannur ,CNN,07:15:00,2023-10-07,07:15:00,2023-10-07,AT76
9I505,Alliance Air,Bengaluru,BLR,T1,Agatti ,AGX,07:15:00,2023-10-07,07:15:00,2023-10-07,AT7
QP1372,Akasa Air,Bengaluru,BLR,T1,Bagdogra ,IXB,07:20:00,2023-10-07,07:20:00,2023-10-07,7M8
6E6269,IndiGo,Bengaluru,BLR,T1,Chennai ,MAA,07:20:00,2023-10-07,07:20:00,2023-10-07,A20N
6E484,IndiGo,Bengaluru,BLR,T1,Hyderabad ,HYD,07:25:00,2023-10-07,07:25:00,2023-10-07,A21N
AI516,Air India,Bengaluru,BLR,T2,Hyderabad ,HYD,07:25:00,2023-10-07,07:25:00,2023-10-07,319
QP1325,Akasa Air,Bengaluru,BLR,T1,Ahmedabad ,AMD,07:30:00,2023-10-07,07:30:00,2023-10-07,7M8
6E405,IndiGo,Bengaluru,BLR,T1,Raipur ,RPR,07:35:00,2023-10-07,07:35:00,2023-10-07,A320
I51576,AirAsia India,Bengaluru,BLR,T2,Jaipur ,JAI,07:40:00,2023-10-07,07:40:00,2023-10-07,A20N
6E6404,IndiGo,Bengaluru,BLR,T1,Chandigarh ,IXC,07:40:00,2023-10-07,07:40:00,2023-10-07,A20N
6E6439,IndiGo,Bengaluru,BLR,T1,Kolkata ,CCU,07:40:00,2023-10-07,07:40:00,2023-10-07,A20N
6E6858,IndiGo,Bengaluru,BLR,T1,Mangaluru ,IXE,07:50:00,2023-10-07,07:50:00,2023-10-07,A20N
UK808,Vistara,Bengaluru,BLR,T2,Delhi ,DEL,08:00:00,2023-10-07,08:00:00,2023-10-07,320
6E861,IndiGo,Bengaluru,BLR,T1,Delhi ,DEL,08:00:00,2023-10-07,08:00:00,2023-10-07,A21N
6E6176,IndiGo,Bengaluru,BLR,T1,Goa ,GOX,08:00:00,2023-10-07,08:00:00,2023-10-07,NA
IX1941,Air India Express,Bengaluru,BLR,T2,Jaipur ,JAI,08:00:00,2023-10-07,08:00:00,2023-10-07,738
6E34,IndiGo,Bengaluru,BLR,T2,Dubai ,DXB,08:10:00,2023-10-07,08:10:00,2023-10-07,A20N
9I501,Alliance Air,Bengaluru,BLR,T1,Vijayawada ,VGA,08:15:00,2023-10-07,08:15:00,2023-10-07,AT7
I51982,AirAsia India,Bengaluru,BLR,T2,Bagdogra ,IXB,08:20:00,2023-10-07,08:20:00,2023-10-07,A320
6E255,IndiGo,Bengaluru,BLR,T1,Patna ,PAT,08:30:00,2023-10-07,08:30:00,2023-10-07,32N
6E259,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,08:30:00,2023-10-07,08:30:00,2023-10-07,32N
UK846,Vistara,Bengaluru,BLR,T2,Mumbai ,BOM,08:30:00,2023-10-07,08:30:00,2023-10-07,321
6E6497,IndiGo,Bengaluru,BLR,T1,Prayagraj ,IXD,08:35:00,2023-10-07,08:35:00,2023-10-07,32Q
S5117,Star Air,Bengaluru,BLR,T2,Kalaburagi ,GBI,08:40:00,2023-10-07,08:40:00,2023-10-07,ER4
6E457,IndiGo,Bengaluru,BLR,T1,Agartala ,IXA,08:40:00,2023-10-07,08:40:00,2023-10-07,32A
6E415,IndiGo,Bengaluru,BLR,T1,Jaipur ,JAI,08:45:00,2023-10-07,08:45:00,2023-10-07,32A
6E6445,IndiGo,Bengaluru,BLR,T1,Kochi ,COK,08:55:00,2023-10-07,08:55:00,2023-10-07,32N
I5819,AirAsia India,Bengaluru,BLR,T2,Ranchi ,IXR,09:00:00,2023-10-07,09:00:00,2023-10-07,A20N
6E442,IndiGo,Bengaluru,BLR,T1,Jorhat ,JRH,09:00:00,2023-10-07,09:00:00,2023-10-07,32A
QP1405,Akasa Air,Bengaluru,BLR,T1,Delhi ,DEL,09:15:00,2023-10-07,09:15:00,2023-10-07,7M8
6E886,IndiGo,Bengaluru,BLR,T1,Gorakhpur ,GOP,09:15:00,2023-10-07,09:15:00,2023-10-07,32Q
6E452,IndiGo,Bengaluru,BLR,T1,Bagdogra ,IXB,09:20:00,2023-10-07,09:20:00,2023-10-07,32N
AI604,Air India,Bengaluru,BLR,T2,Mumbai ,BOM,09:20:00,2023-10-07,09:20:00,2023-10-07,32N
QP1323,Akasa Air,Bengaluru,BLR,T1,Agartala ,IXA,09:20:00,2023-10-07,09:20:00,2023-10-07,7M8
6E797,IndiGo,Bengaluru,BLR,T1,Srinagar ,SXR,09:25:00,2023-10-07,09:25:00,2023-10-07,32N
UK852,Vistara,Bengaluru,BLR,T2,Dehradun ,DED,09:30:00,2023-10-07,09:30:00,2023-10-07,320
6E592,IndiGo,Bengaluru,BLR,T1,Chennai ,MAA,09:30:00,2023-10-07,09:30:00,2023-10-07,32N
6E7285,IndiGo,Bengaluru,BLR,T1,Belgaum ,IXG,09:35:00,2023-10-07,09:35:00,2023-10-07,AT7
6E688,IndiGo,Bengaluru,BLR,T1,Thiruvananthapuram ,TRV,09:40:00,2023-10-07,09:40:00,2023-10-07,32N
6E7102,IndiGo,Bengaluru,BLR,T1,Visakhapatnam ,VTZ,09:40:00,2023-10-07,09:40:00,2023-10-07,AT7
6E475,IndiGo,Bengaluru,BLR,T1,Durgapur ,RDP,09:45:00,2023-10-07,09:45:00,2023-10-07,32Q
